Question	Renee Bowser	Janeese Lewis-George	Brandon Todd
Party	Democratic Party	Democratic Party	Democratic Party
Seat	Ward Four Councilmember	Ward Four Councilmember	Ward Four Councilmember
Status of seat	I am challenging an incumbent	I am challenging an incumbent	Incumbent
Gender Pronouns	She, her	She/Her/Hers	Did not complete questionnaire
Campaign Website	N/A	https://www.janeese4dc.com/	Did not complete questionnaire
Campaign Facebook	N/A	https://www.facebook.com/Janeese4DC	Did not complete questionnaire
Campaign Twitter Handle	N/A	@janeese4dc	Did not complete questionnaire
Other social media accounts	N/A	https://www.instagram.com/janeese4dc/	Did not complete questionnaire
Are you participating in Fair Elections?	Yes	Yes	No
Have you run for office previously? If so, please provide detail.	Yes; I have run for Ward 4 Council; Advisory Neighborhood Commission, and DC Democratic State Committee Ward 4 Committeewoman	Yes. I ran for At-Large Committeewoman on the DC Democratic State Committee and am currently serving on the committee.	Did not complete questionnaire
Tell us about who you are and why you are running.	I am an African American female activist/trade unionist who has worked for decades to eliminate systemic disparities against working class people of all races, ethnicities, genders, and abilities.  I have fought against employment and housing discrimination, for labor and immigrant rights as a steward and Union lawyer, and for affordable housing for all.  I want to fight legislatively on DC Council, using a racial and economic justice lens, to strengthen and advance the lives of DC's working class and all marginalized people in our community.  	From my days as a student at Rudolph to my time in the DC Attorney General's Office, I've had unshakeable belief that integrity, equity, and justice should be the rule, not the exception. Those values were instilled in me by my mom and grandmother. They taught me the importance of education, hard work, and the responsibility of lifting as we climb.  Whether fighting for quality public schools in every neighborhood or implementing a public health approach to crime, I understand that problems in education, housing, climate, health, and safety are all deeply connected. To solve one of them, we need to address all of them. To build the Ward 4 we believe in, one that works for all of us, we need bold progressive leadership, unbought, unbossed and willing to fight for accountability, affordability, and fairness for everyone in our community! That is why I am running.  I do not have evidence that our current council member shares the same understanding of our community, nor does he govern with an integrated, values based approach to systemic change. I know that my community is ready for an accountable, new type of leader and I am that woman.	Did not complete questionnaire
Tell us why you want DC Working Families' endorsement.	DC Working Families Party and I share and have worked to implement the same core values.  I believe that our working together to promote our values through my candidacy will help organize more voters to engage in the political process, work with WFP, and me on the Council to achieve success on issues that advance racial, economic, and criminal justice in DC. 	Our values are in alignment. I am a Progressive. I need your support to win now and in the long term. I specifically want DC Working Families endorsement because it will show that I am a movement candidate, a fair elections candidate, an accountable to the people candidate. It would be my honor to have your endorsement.	Did not complete questionnaire
